id,customer_name,customer_email,address1,address2,city,state,zipcode,cc_name,cc_number,cc_expiration,cc_security,billingzip,status
1,Christiane,christiane@gmail.com,123 A Street,,New York,NY,93507,Christiane S,4111283003558320,01/21,791,96535,pending
2,Shaunna,shaunna@gmail.com,456 B Street,#4,Lahaina,HI,92509,Shaunna W,4111381187187510,12/18,539,92509,paid
3,Kayla E,kayla@gmail.com,1 3rd Ave,,Seattle,WA,93032,Kayla E,4111515970319250,11/23,322,96433,complete
4,Victoria S,victoria@gmail.com,12 8th Ave,#21,New York,NY,99690,Victoria S,4111892427248440,05/21,291,99690,cancelled
5,Chris M,chris@gmail.com,21 Fake Pl,,New York,NY,90097,Chris M,4111698564821290,05/22,981,99642,pending
6,Dee D,dee@gmail.com,13 Real St,Apt E,Lahaina,HI,99858,Dee D,4111258502273620,05/23,259,99858,pending
7,Cynthia T,cynthia@gmail.com,321 C Ave,,Seattle,WA,92249,Cynthia T,4111261136939650,05/24,385,98631,paid
8,Sarah E,sarah@gmail.com,1923 4th Ave,,New York,NY,90161,Sarah E,4111702954334590,05/25,941,90161,paid
9,Alexandra H,alexandra@gmail.com,1230 3rd Ave,Apt 3,New York,NY,96558,Alexandra H,4111941145824450,05/26,382,96558,complete
10,Dan R,dan@gmail.com,1083 2nd Ave,,Lahaina,HI,98953,Dan R,4111597016882430,05/27,488,93479,complete
